            lat        lon
697   41.320229  69.233790
458   41.320770  69.260902
1384  41.320808  69.176698
588   41.320905  69.284828
663   41.321200  69.254670
521   41.321457  69.296965
309   41.321461  69.178788
1148  41.321515  69.447212
1004  41.322185  69.210479
333   41.322241  69.216044
748   41.322273  69.236602
1339  41.322292  69.236916
739   41.322296  69.239446
114   41.322434  69.204509
878   41.322450  69.205751
101   41.322460  69.188595
583   41.322549  69.254647
933   41.322704  69.484052
76    41.322734  69.484114
508   41.323175  69.235665
327   41.323390  69.357782
1300  41.323506  69.254744
441   41.323668  69.282528
1327  41.324187  69.257718
225   41.324345  69.367387
558   41.324557  69.324725
972   41.324676  69.206224
595   41.324735  69.304303
15    41.324854  69.163170
526   41.324992  69.256830
1015  41.325068  69.231650
516   41.325081  69.299491
688   41.326111  69.329719
934   41.326727  61.062316
973   41.326923  69.291075
169   41.327071  69.239721
421   41.327230  69.336387
25    41.327768  69.284076
482   41.327951  69.174268
725   41.328246  69.343647
1080  41.329373  69.236577
1034  41.329419  69.283640
10    41.329466  61.055399
1108  41.329727  69.234876
423   41.330462  69.232779
686   41.330681  69.242803
163   41.330730  69.221551
121   41.330965  69.401689
690   41.331947  69.312599
724   41.332163  69.542748
1182  41.332168  69.234601
509   41.332236  69.251371
528   41.332269  69.263675
1277  41.332980  69.284560
185   41.333153  69.287476
179   41.333422  69.415728
297   41.334568  69.264506
334   41.335033  69.213974
365   41.335557  69.292607
1090  41.335586  69.221142
839   41.335599  69.174895
316   41.335792  69.233657
877   41.336095  69.255143
630   41.336822  69.259547
922   41.337124  69.210586
413   41.337378  69.232971
985   41.337427  69.330365
393   41.337889  69.196306
431   41.337967  69.274098
236   41.337969  69.224129
99    41.338159  69.242339
356   41.338648  69.272566
490   41.338703  69.242070
603   41.338836  69.222328
266   41.339044  69.207228
188   41.339344  69.220378
584   41.339395  69.226990
293   41.339477  69.226625
24    41.339482  69.271099
